url,village,districts,province,provincial_capital,lng,lat
http://www.iecity.com/xian/map/Detail66484849684856525183.html,红卫村地图,鄠邑区,陕西省,西安,108.53086,34.082371
http://www.iecity.com/xian/map/Detail66487249708569884868.html,草滩驿地图,未央区,陕西省,西安,108.885874,34.386767
http://www.iecity.com/xian/map/Detail66484849684949694879.html,里贤村地图,鄠邑区,陕西省,西安,108.578913,34.172915
http://www.iecity.com/xian/map/Detail66484849684949565453.html,普渡村地图,长安区,陕西省,西安,108.767121,34.230406
http://www.iecity.com/xian/map/Detail66484849684856525270.html,南涝店村地图,鄠邑区,陕西省,西安,108.555983,34.162259
http://www.iecity.com/xian/map/Detail66487070706573775567.html,西韩村地图,鄠邑区,陕西省,西安,108.604879,34.125568
http://www.iecity.com/xian/map/Detail66484849684856546770.html,老君庙地图,长安区,陕西省,西安,108.997583,33.994608
http://www.iecity.com/xian/map/Detail66484849684856525277.html,平东村地图,鄠邑区,陕西省,西安,108.572186,34.158972
http://www.iecity.com/xian/map/Detail66484849684856508876.html,西涝店村地图,鄠邑区,陕西省,西安,108.552762,34.170935
http://www.iecity.com/xian/map/Detail66484849684949694878.html,永安村地图,鄠邑区,陕西省,西安,108.518033,34.20933
http://www.iecity.com/xian/map/Detail66484849684856527285.html,东岭村地图,长安区,陕西省,西安,109.15074,34.143418
http://www.iecity.com/xian/map/Detail66484849684856508953.html,寨尚村地图,鄠邑区,陕西省,西安,108.551801,34.165607
http://www.iecity.com/xian/map/Detail66487070737552838974.html,长安区农家乐示范村地图,长安区,陕西省,西安,109.060458,34.033657
http://www.iecity.com/xian/map/Detail66484849684949694875.html,吴兆村地图,鄠邑区,陕西省,西安,108.532324,34.180625
http://www.iecity.com/xian/map/Detail66484849684856508886.html,永安滩村地图,鄠邑区,陕西省,西安,108.520681,34.210629
http://www.iecity.com/xian/map/Detail66484849684856525278.html,平西村地图,鄠邑区,陕西省,西安,108.562424,34.15634
http://www.iecity.com/xian/map/Detail66484849684856545157.html,东羊坡地图,鄠邑区,陕西省,西安,108.566703,33.993272
http://www.iecity.com/xian/map/Detail66484849684856508779.html,里贤庄村地图,鄠邑区,陕西省,西安,108.580061,34.17299
http://www.iecity.com/xian/map/Detail66484849684856508878.html,小坳河村地图,鄠邑区,陕西省,西安,108.597898,34.174208
http://www.iecity.com/xian/map/Detail66484849684856508875.html,西曹村地图,鄠邑区,陕西省,西安,108.55672,34.199598
http://www.iecity.com/xian/map/Detail66484849684856537486.html,子午东村地图,长安区,陕西省,西安,108.904447,34.036772
http://www.iecity.com/xian/map/Detail66484849684856517351.html,方新庄地图,蓝田县,陕西省,西安,109.462559,34.198713
http://www.iecity.com/xian/map/Detail66484849684856498377.html,潘罗村地图,灞桥区,陕西省,西安,109.098907,34.37466
http://www.iecity.com/xian/map/Detail66484849684949688776.html,黄良镇村地图,长安区,陕西省,西安,108.898888,34.092319
http://www.iecity.com/xian/map/Detail66484849684856498665.html,东门村地图,临潼区,陕西省,西安,109.167184,34.334874
http://www.iecity.com/xian/map/Detail66484849684949694874.html,圪塔头村地图,鄠邑区,陕西省,西安,108.593266,34.174641
http://www.iecity.com/xian/map/Detail66484849684856537485.html,子午村地图,长安区,陕西省,西安,108.901394,34.053009
http://www.iecity.com/xian/map/Detail66487070755276838169.html,金家庄地图,周至县,陕西省,西安,108.240188,34.149293
